CPUID,NOP
60116,38
44004,38
42294,38
41572,38
42104,38
41610,38
40736,38
40888,38
40812,38
40774,38
41306,38
39862,38
40204,38
39710,38
40812,38
39900,38
39976,38
39596,38
39482,38
39824,38
40128,38
39596,38
39824,38
39748,38
39140,38
39710,38
40166,38
158422,38
43510,38
41686,38
161158,38
41192,38
41496,38
41420,38
41420,38
1893730,38
44232,38
41420,38
41610,38
41610,38
40584,38
41610,38
40850,38
41268,38
40926,38
40736,38
40660,38
40736,38
40394,38
40774,38
40546,38
40812,38
41268,38
41610,38
41002,38
41306,38
40242,38
40660,38
40774,38
41002,38
40736,38
41078,38
312589,38
50312,38
45866,38
41002,38
40774,38
40356,38
40812,38
40204,38
39976,38
41610,38
39938,38
40280,38
39862,38
40128,38
40242,38
40470,38
39672,38
40128,38
39938,38
40128,38
39786,38
39634,38
39786,38
40166,38
40166,38
39900,38
39710,38
42104,38
41838,38
41952,38
41572,38
41990,38
41686,38
42332,38
167884,38
60040,38
236664,38
45296,38
