CPUID,NOP
2470,38
2204,38
2052,38
2166,38
2090,38
2166,38
2052,38
2128,38
2052,38
2014,38
2128,38
2014,38
2051,38
2052,38
2356,38
2052,38
2052,38
2584,38
2052,38
2052,38
3610,38
2128,38
2165,38
2242,38
2165,38
2318,38
2242,76
2204,38
2280,38
2698,38
2280,38
2166,38
2204,38
2470,38
2166,38
2128,38
2166,38
2204,38
2204,38
2470,38
2204,38
2166,38
2166,38
2242,38
2204,38
2204,38
2127,38
2166,38
2166,38
2242,38
2166,38
2128,38
2204,38
2128,38
2204,38
2204,38
2166,38
2204,38
2166,38
2166,38
2242,38
2165,38
2166,38
2204,38
2280,38
2204,38
2166,38
2166,38
2204,38
2166,38
2204,38
2204,38
2166,38
2204,38
2166,38
2242,38
2203,38
2165,38
2166,38
2013,38
2128,38
2166,38
2166,38
2242,38
2166,38
2166,38
2128,38
2128,38
2166,38
2204,38
2166,38
2166,38
2128,38
2242,38
2166,38
2204,38
2166,38
2204,38
2204,38
2242,38
