CPUID,NOP
82320,168
148416,174
91174,166
65726,166
63650,160
159254,170
62582,168
61930,190
62226,200
63710,160
130778,168
61788,222
63252,162
132692,160
62640,170
153990,166
70982,160
66118,158
61788,160
64930,164
58972,164
61352,162
63658,170
59976,162
64292,178
61854,162
65804,166
65166,170
66060,160
62220,164
64684,174
64466,168
68636,22
60022,166
62842,164
66914,158
63376,176
67418,166
64488,160
66974,160
60492,172
110990,432
64302,356
69630,162
60674,162
63948,162
124912,174
57250,162
48414,140
51818,132
55180,182
66858,164
344940,196
68892,166
115426,168
63936,158
515495,866
85676,178
67840,166
62708,166
64958,172
323561,482
64658,148
55120,134
61196,168
61822,140
53214,134
57898,160
53944,128
58142,140
56678,140
56040,162
58158,136
60252,172
228506,202
58824,154
67156,168
59446,160
86276,172
71706,162
60818,180
60630,162
64662,160
57454,166
66470,162
702023,474
60846,136
51506,140
49406,130
54112,144
56522,174
66974,192
68902,168
60244,182
62434,168
62772,176
52890,158
53760,132
60700,172
60932,158
