CPUID,NOP
1290,20
878,20
882,22
868,20
938,20
844,20
856,20
852,18
850,18
850,18
846,20
848,20
850,18
846,20
842,18
848,20
1082,20
850,18
852,18
848,18
838,18
1114,20
848,20
1078,20
850,18
850,18
1128,20
848,20
850,18
842,18
848,20
850,18
1096,18
852,20
846,18
898,20
894,302
3688,20
872,20
870,18
876,20
872,20
872,18
866,20
868,20
872,20
870,20
870,18
914,18
870,20
876,20
872,20
870,18
930,20
872,18
870,20
870,20
870,18
870,20
886,18
866,20
870,18
872,18
870,20
1002,20
874,20
870,18
1104,20
872,18
870,18
880,18
866,20
868,18
1174,20
872,20
868,20
868,20
868,20
1132,18
870,20
868,18
872,18
870,20
1126,18
870,18
868,18
868,18
870,18
870,18
2074,20
870,18
876,20
868,20
870,18
870,18
864,20
868,20
870,20
866,20
868,20
